cidr,country,region,city,asn,is_vpn_proxy,provider
"208.102.51.6/32","US","","Alexandria","","true","proxifly-free-proxy-list"
"69.61.200.104/32","US","","Cincinnati","","true","proxifly-free-proxy-list"
"66.42.224.229/32","US","","Dearborn","","true","proxifly-free-proxy-list"
"72.195.34.42/32","US","","Unknown","","true","proxifly-free-proxy-list"
"192.111.137.37/32","CA","","Brampton","","true","proxifly-free-proxy-list"
"98.178.72.21/32","US","","Unknown","","true","proxifly-free-proxy-list"
"184.178.172.25/32","US","","Roanoke","","true","proxifly-free-proxy-list"
"184.178.172.18/32","US","","Roanoke","","true","proxifly-free-proxy-list"
"70.166.167.55/32","US","","Mesa","","true","proxifly-free-proxy-list"
"184.178.172.5/32","US","","Roanoke","","true","proxifly-free-proxy-list"
"70.166.167.38/32","US","","Mesa","","true","proxifly-free-proxy-list"
"142.54.229.249/32","US","","Unknown","","true","proxifly-free-proxy-list"
"212.237.125.216/32","IQ","","Duhok","","true","proxifly-free-proxy-list"
"193.122.105.251/32","KR","","Seoul","","true","proxifly-free-proxy-list"
"70.166.65.160/32","US","","Lafayette","","true","proxifly-free-proxy-list"
"121.169.46.116/32","KR","","Bucheon-si","","true","proxifly-free-proxy-list"
"103.76.149.140/32","ID","","Batu","","true","proxifly-free-proxy-list"
"193.25.215.182/32","US","","Los Angeles","","true","proxifly-free-proxy-list"
"85.117.248.36/32","ES","","Unknown","","true","proxifly-free-proxy-list"
"45.194.33.12/32","US","","Ashburn","","true","proxifly-free-proxy-list"
"220.158.232.118/32","KH","","Unknown","","true","proxifly-free-proxy-list"
"15.204.235.27/32","US","","Reston","","true","proxifly-free-proxy-list"
"144.24.111.128/32","IN","","Mumbai","","true","proxifly-free-proxy-list"
"101.36.104.239/32","JP","","Tokyo","","true","proxifly-free-proxy-list"
"123.58.219.171/32","HK","","Hong Kong","","true","proxifly-free-proxy-list"
"144.24.47.42/32","US","","Phoenix","","true","proxifly-free-proxy-list"
"199.66.182.243/32","US","","Douglasville","","true","proxifly-free-proxy-list"
"47.245.165.201/32","DE","","Frankfurt am Main","","true","proxifly-free-proxy-list"
"144.91.121.61/32","DE","","Nuremberg","","true","proxifly-free-proxy-list"
"203.189.150.44/32","KH","","Phnom Penh","","true","proxifly-free-proxy-list"
"161.35.90.93/32","NL","","Amsterdam","","true","proxifly-free-proxy-list"
"79.76.59.115/32","GB","","Halifax","","true","proxifly-free-proxy-list"
"161.35.90.93/32","NL","","Amsterdam","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"203.189.135.73/32","KH","","Phnom Penh","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"202.43.165.140/32","ID","","Bandar Lampung","","true","proxifly-free-proxy-list"
"168.253.92.93/32","ZA","","Middelburg","","true","proxifly-free-proxy-list"
"65.21.252.66/32","FI","","Helsinki","","true","proxifly-free-proxy-list"
"65.21.252.66/32","FI","","Helsinki","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"188.242.163.28/32","RU","","St Petersburg","","true","proxifly-free-proxy-list"
"103.239.52.100/32","KH","","Unknown","","true","proxifly-free-proxy-list"
"193.233.86.198/32","RU","","Unknown","","true","proxifly-free-proxy-list"
"5.255.99.75/32","NL","","Unknown","","true","proxifly-free-proxy-list"
"5.255.123.162/32","NL","","Unknown","","true","proxifly-free-proxy-list"
"47.252.47.39/32","US","","Unknown","","true","proxifly-free-proxy-list"
"199.66.182.232/32","US","","Douglasville","","true","proxifly-free-proxy-list"
"45.194.33.12/32","US","","Ashburn","","true","proxifly-free-proxy-list"
"49.13.22.249/32","DE","","Unknown","","true","proxifly-free-proxy-list"
"115.74.200.4/32","VN","","Tra Vinh","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"49.13.22.249/32","DE","","Unknown","","true","proxifly-free-proxy-list"
"85.209.156.148/32","US","","Los Angeles","","true","proxifly-free-proxy-list"
"5.75.133.113/32","DE","","Unknown","","true","proxifly-free-proxy-list"
"213.199.47.140/32","FR","","Unknown","","true","proxifly-free-proxy-list"
"46.146.242.142/32","RU","","Perm","","true","proxifly-free-proxy-list"
"132.243.168.30/32","US","","Unknown","","true","proxifly-free-proxy-list"
"171.22.182.164/32","IE","","Dublin","","true","proxifly-free-proxy-list"
"144.91.111.48/32","DE","","Nuremberg","","true","proxifly-free-proxy-list"
"216.105.128.144/32","US","","Simpsonville","","true","proxifly-free-proxy-list"
"45.32.160.61/32","US","","Miami","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"176.114.199.202/32","RU","","Tver","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"61.247.178.178/32","BD","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"185.195.71.218/32","CH","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"107.150.41.226/32","US","","Capitol Heights","","true","proxifly-free-proxy-list"
"213.111.146.36/32","UA","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"57.128.231.218/32","FR","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"57.128.231.218/32","FR","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.42/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"141.148.8.171/32","US","","Ashburn","","true","proxifly-free-proxy-list"
"111.119.162.248/32","PK","","Unknown","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.47/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
"45.74.31.30/32","LU","","Luxembourg","","true","proxifly-free-proxy-list"
